boro,month,awnd,prcp,snow,tmax,tmin,wsf2,wt01,wt02,wt03,wt04,wt06,wt08,holiday,crime_type,weekday,value
QUEENS,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,other,6,72
MANHATTAN,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,other,3,110
BROOKLYN,7,1,0,0,80,64,15,0,0,0,0,0,0,0,violent,5,121
QUEENS,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,other,3,71
MANHATTAN,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,theft_property,6,111
BRONX,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,theft_property,5,72
BROOKLYN,6,0,0,0,83,65,13,0,0,0,0,0,0,0,other,5,122
BRONX,7,0,0,0,81,72,13,1,0,0,0,0,1,0,other,4,57
BRONX,7,0,0,0,94,82,12.1,0,0,0,0,0,0,0,violent,2,95
QUEENS,7,0,0,0,81,72,13,1,0,0,0,0,1,0,violent,4,90
QUEENS,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,other,7,71
MANHATTAN,7,0,0,0,88,75,13,1,0,0,0,0,1,0,theft_property,3,124
MANHATTAN,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,other,5,96
QUEENS,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,theft_property,2,48
BRONX,8,0,0,0,87,72,12.1,0,0,0,0,0,0,0,violent,4,157
QUEENS,7,0,0,0,75,69,8.9,0,0,0,0,0,1,0,violent,7,52
BROOKLYN,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,theft_property,2,68
BRONX,6,0,0,0,84,68,13,0,0,0,0,0,0,0,theft_property,4,72
BROOKLYN,7,0,0,0,88,77,13,0,0,0,0,0,1,0,other,4,68
BRONX,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,violent,7,76
MANHATTAN,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,violent,6,102
QUEENS,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,violent,7,85
MANHATTAN,6,1,1,0,73,62,18.1,1,0,0,0,0,0,0,other,1,62
MANHATTAN,7,0,0,0,89,72,6.9,0,0,0,0,0,0,0,theft_property,1,67
MANHATTAN,7,0,0,0,93,78,14.1,0,0,0,0,0,0,0,other,1,52
BRONX,8,1,1,0,89,69,23,1,0,0,0,0,0,0,theft_property,3,76
BROOKLYN,6,0,0,0,84,68,13,0,0,0,0,0,0,0,violent,4,114
BRONX,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,violent,4,149
MANHATTAN,6,0,0,0,84,68,13,0,0,0,0,0,0,0,violent,4,79
BRONX,7,0,0,0,94,82,12.1,0,0,0,0,0,0,0,theft_property,2,41
BRONX,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,theft_property,4,62
BRONX,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,theft_property,6,55
QUEENS,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,other,2,50
STATEN ISLAND,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,other,4,14
MANHATTAN,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,violent,2,68
QUEENS,7,0,0,0,95,75,8.9,0,0,0,0,0,1,0,other,3,48
MANHATTAN,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,theft_property,7,96
BRONX,7,0,0,0,88,75,13,1,0,0,0,0,1,0,other,3,64
BRONX,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,violent,6,132
MANHATTAN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,61
BRONX,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,violent,3,105
STATEN ISLAND,7,0,0,0,89,72,12.1,1,0,0,0,0,1,0,theft_property,6,16
MANHATTAN,7,0,0,0,94,82,12.1,0,0,0,0,0,0,0,theft_property,2,108
BRONX,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,other,4,50
QUEENS,7,1,0,0,80,64,15,0,0,0,0,0,0,0,other,5,72
MANHATTAN,8,0,0,0,89,71,12.1,0,0,0,0,0,0,0,theft_property,1,63
BROOKLYN,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,theft_property,1,40
BROOKLYN,7,0,0,0,95,75,8.9,0,0,0,0,0,1,0,violent,3,111
MANHATTAN,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,theft_property,3,123
